step,green_lane,queues
0,0,"[3, 1, 0, 2]"
1,2,"[5, 2, 2, 4]"
2,0,"[5, 4, 2, 6]"
3,0,"[3, 6, 4, 6]"
4,1,"[4, 6, 5, 6]"
5,0,"[3, 7, 5, 8]"
6,0,"[3, 8, 5, 8]"
7,0,"[0, 10, 7, 8]"
8,0,"[1, 10, 9, 9]"
9,0,"[0, 10, 9, 10]"
10,0,"[1, 10, 10, 10]"
11,0,"[1, 10, 10, 10]"
12,3,"[1, 10, 10, 5]"
13,0,"[2, 10, 10, 6]"
14,0,"[2, 10, 10, 8]"
15,0,"[0, 10, 10, 9]"
16,0,"[0, 10, 10, 9]"
17,1,"[1, 8, 10, 9]"
18,0,"[2, 9, 10, 10]"
19,0,"[1, 10, 10, 10]"
20,1,"[3, 6, 10, 10]"
21,0,"[0, 6, 10, 10]"
22,0,"[1, 6, 10, 10]"
23,0,"[0, 6, 10, 10]"
24,1,"[2, 5, 10, 10]"
25,0,"[1, 6, 10, 10]"
26,1,"[3, 4, 10, 10]"
27,0,"[1, 5, 10, 10]"
28,0,"[1, 7, 10, 10]"
29,0,"[2, 9, 10, 10]"
30,1,"[2, 6, 10, 10]"
31,2,"[3, 7, 8, 10]"
32,2,"[4, 9, 8, 10]"
33,0,"[2, 10, 10, 10]"
34,0,"[2, 10, 10, 10]"
35,1,"[2, 8, 10, 10]"
36,0,"[2, 10, 10, 10]"
37,2,"[2, 10, 10, 10]"
38,3,"[4, 10, 10, 8]"
39,0,"[1, 10, 10, 9]"
40,0,"[2, 10, 10, 10]"
41,1,"[4, 8, 10, 10]"
42,0,"[0, 9, 10, 10]"
43,0,"[1, 10, 10, 10]"
44,2,"[2, 10, 9, 10]"
45,0,"[2, 10, 9, 10]"
46,1,"[2, 6, 9, 10]"
47,0,"[2, 7, 9, 10]"
48,0,"[0, 7, 10, 10]"
49,0,"[1, 8, 10, 10]"
50,0,"[1, 10, 10, 10]"
51,3,"[2, 10, 10, 8]"
52,1,"[3, 7, 10, 9]"
53,1,"[5, 6, 10, 10]"
54,0,"[2, 8, 10, 10]"
55,1,"[3, 5, 10, 10]"
56,0,"[0, 7, 10, 10]"
57,1,"[0, 2, 10, 10]"
58,0,"[0, 2, 10, 10]"
59,1,"[1, 2, 10, 10]"
60,0,"[0, 4, 10, 10]"
61,0,"[2, 4, 10, 10]"
62,0,"[2, 4, 10, 10]"
63,1,"[2, 0, 10, 10]"
64,0,"[1, 0, 10, 10]"
65,0,"[0, 2, 10, 10]"
66,2,"[2, 2, 7, 10]"
67,0,"[2, 4, 7, 10]"
68,0,"[1, 4, 7, 10]"
69,0,"[1, 6, 8, 10]"
70,0,"[2, 8, 8, 10]"
71,0,"[2, 10, 8, 10]"
72,0,"[1, 10, 8, 10]"
73,0,"[2, 10, 9, 10]"
74,2,"[4, 10, 7, 10]"
75,0,"[2, 10, 7, 10]"
76,0,"[2, 10, 7, 10]"
77,1,"[2, 6, 7, 10]"
78,0,"[2, 7, 9, 10]"
79,1,"[2, 3, 9, 10]"
80,0,"[1, 5, 9, 10]"
81,0,"[1, 6, 10, 10]"
82,2,"[3, 6, 7, 10]"
83,0,"[2, 7, 8, 10]"
84,0,"[1, 9, 10, 10]"
85,0,"[0, 10, 10, 10]"
86,0,"[0, 10, 10, 10]"
87,1,"[2, 10, 10, 10]"
88,0,"[1, 10, 10, 10]"
89,1,"[2, 10, 10, 10]"
90,2,"[3, 10, 9, 10]"
91,0,"[2, 10, 10, 10]"
92,3,"[2, 10, 10, 8]"
93,2,"[4, 10, 5, 10]"
94,0,"[3, 10, 7, 10]"
95,0,"[1, 10, 9, 10]"
96,0,"[0, 10, 10, 10]"
97,2,"[1, 10, 7, 10]"
98,0,"[1, 10, 9, 10]"
99,1,"[2, 9, 10, 10]"
